UID,COLLECTION,TCP,EEBO,ECCO,VID,Book ID,STC,ESTC,Status,Author,Date,Title,Terms,Publisher,Pages,Word Count
,Ecco-TCP,K000039.000,,CW106500660,,,,N71,,"Centlivre, Susanna, 1667?-1723.",1706 [1705],"The basset-table: A comedy. As it is acted at the Theatre-Royal in Drury-Lane, by Her Majesty's servants. By the author of The gamester.",,"London : printed for William Turner at the Angel at Lincolns-Inn-Back-Gate; and sold by J. Nutt near Stationers-Hall,",,
,Ecco-TCP,K000122.000,,CW110974630,,,,N203,,"Jones, Henry, 1721-1770.",1745,"The bricklayer's poem to the Countess of Chesterfield, on Her Ladyship's saving the soldiers from being shot:",,"Dublin : printed in the year,",,
,Ecco-TCP,K000152.000,,CW110101055,,,,N260,,"Congreve, William, 1670-1729.",1705,"Prologue to the court: on the Queen's birth-day, 1704.",,"London : printed for J. Tonson,",,
,Ecco-TCP,K000180.000,,CW110593794,,,,N326,,"Cumberland, Richard, 1732-1811.",1772,The fashionable lover; a comedy: as it is acted at the Theatre-Royal in Drury-Lane.,,"London : printed for W. Griffin,",,
,Ecco-TCP,K000266.000,,CW104206906,,,,N460,,"Defoe, Daniel, 1661?-1731.",1705,"The dyet of Poland: a satyr. Consider'd paragraph by paragraph. To which is added a key to the whole, ...",,"London : printed: and sold by Ben. Bragg,",,
,Ecco-TCP,K000268.000,,CW110184085,,,,N462,,"Duck, Stephen, 1705-1756.",1741,Every man in his own way: An epistle to a friend. By Stephen Duck.,,"London : printed for J. Roberts; and R. Dodsley,",,
,Ecco-TCP,K000335.000,,CW109553321,,,,N563,,"Cadogan, William, 1711-1797.",1748,"An essay upon nursing: and the management of children, from their birth to three years of age. By a physician. In a letter to one of the governors of the Foundling Hospital. Published by order of the General Committee ...",,"London : printed for J. Roberts,",,
,Ecco-TCP,K000343.000,,CW108560568,,,,N582,,"Alderson, John, 1757-1829.",[1794],"An essay on the rhus toxicodendron: pubescent poison oak, or sumach, with cases shewing it's efficacy in the cure of paralysis, ... By John Alderson, ...",,"Hull : printed and sold by Rawson and Co. Sold also by J. Johnson, London; and W. Creech, Edinburgh,",,
,Ecco-TCP,K000379.000,,CW110184104,,,,N628,,"Duck, Stephen, 1705-1756.",1741,Hints to a school-master: Address'd to the Revd. Dr. Turnbull. By Stephen Duck.,,"London : printed for J. Roberts; and R. Dodsley,",,
,Ecco-TCP,K000406.000,,CW106825749,,,,N670,,"Hill, John, 1714?-1775.",1775,Hypochondriasis. A practical treatise on the nature and cure of that disorder; commonly called the hyp and hypo. By Sir John Hill:,,"London : printed for T. Trueman,",,
,Ecco-TCP,K000415.000,,CW109538989,,,,N682,,"Kelly, Hugh.",1765,"An elegy to the memory of the Right Honourable William, late Earl of Bath:",,"London : printed for W. Nicoll,",,
,Ecco-TCP,K000454.000,,CW100965638,,,,N727,,,1728,"The memoirs of an English officer: who serv'd in the Dutch war in 1672. to the peace of Utrecht, in 1713. ... By Capt. George Carleton.",,"London : printed for E. Symon,",,
,Ecco-TCP,K000532.000,,CW104367291,,,,N842,,"Parnell, Thomas, 1679-1718.",[1713],"The horse and the olive: or, war and peace.",,"[London] : Printed for John Morphew, near Stationers-hall,",,
,Ecco-TCP,K000637.000,,CW104631637,,,,N1034,,"Arbuthnot, John, 1667-1735.",1712,"John Bull still in his senses: being the third part of Law is a bottomless-pit. Printed from a manuscript found in the cabinet of the famous Sir Humphry Polesworth: and publish'd, (as well as the two former parts) by the author of the New Atalantis.",,"London : printed for John Morphew,",,
,Ecco-TCP,K000663.000,,CW124703547,,,,N1081,,"Centlivre, Susanna, 1667?-1723.",1715,"An epistle to Mrs. Wallup: now in the train of Her Royal Highness, the Princess of Wales. As it was sent to her to the Hague. Written by Mrs. Susanna Centlivre.",,"London : printed, and sold by R. Burleigh, and A. Boulter,",,
,Ecco-TCP,K000685.000,,CW109771611,,,,N1117,,"Hill, Aaron, 1685-1750.",1707,"Camillus: a poem: humbly inscrib'd to the Right Honourable Charles Earl of Peterborough and Monmouth. By Aaron Hill, gent.",,"London : printed for Tho. Bickerton, and sold by B. Bragg,",,
,Ecco-TCP,K000691.000,,CW107943971,,,,N1125,,"Fielding, Henry, 1707-1754.",1730,"The coffee-house politician: or, the justice caught in his own trap. A comedy. As it is acted at the Theatre-Royal in Lincoln's-Inn Fields. Written by Mr. Fielding.",,"London : printed for J. Watts,",,
,Ecco-TCP,K000780.000,,CW112745834,,,,N1283,,"Cumberland, Richard, 1732-1811.",1754,An elegy written on Saint Mark's eve:,,"London : printed for M. Cooper,",,
