UID,COLLECTION,TCP,EEBO,ECCO,VID,Book ID,STC,ESTC,Status,Author,Date,Title,Terms,Publisher,Pages,Word Count
, Ecco-Unfinished,K000053.000,,CW107944713,,,,N96,,"Betterton, Thomas, 1635?-1710.",1788,"Barnaby brittle: or, a wife at her wit's end: a farce; in two acts: as it is performed at the Theatre-Royal, Covent-Garden. Altered from Moliere and Betterton: with additions.",,"London : printed for S. Bladon,",,
, Ecco-Unfinished,K000076.000,,CW110974224,,,,N129,,"Sheridan, Thomas, 1719-1788.",1743,"The buskin and sock: being controversial letters between Mr. Thomas Sheridan, tragedian, and Mr. Theophilus Cibber, comedian; just published in Dublin.",,"[London] : Dublin printed; London reprinted for Jacob Robinson,",,
, Ecco-Unfinished,K000113.000,,CW110586118,,,,N186,,"Rowe, Nicholas, 1674-1718.",1708,"The royal convert. A tragedy: As it is acted at the Queen's Theatre in the Hay-Market. By Her Majesty's sworn servants. Written by N. Rowe, Esq;.",,"London : printed for Jacob Tonson,",,
, Ecco-Unfinished,K000435.000,,CW117773283,,,,N705,,"Defoe, Daniel, 1661?-1731.",1710,"Greenshields out of prison and toleration settled in Scotland: or the case of Mr. Greenshields, farther examin'd. With some enquiry into the mistakes about that affair, which have so much impos'd upon the present age.",,"London : printed for N. Cliff,",,
, Ecco-Unfinished,K000503.000,,CW111924311,,,,N800,,"Hill, Aaron, 1685-1750.",[1721],"The judgment-day, a poem: By Aaron Hill, Esq.",,"London : printed for T. Jauncy,",,
, Ecco-Unfinished,K000592.000,,CW108388839,,,,N965,,"Colman, George, 1762-1836.",[1787],"Inkle and Yarico: an opera, in three acts. As performed at the Theatre-Royal in the Hay-Market, on Saturday, August 11th, 1787. Written by George Colman, junior.",,"London : printed for G. G. J. and J. Robinson,",,
, Ecco-Unfinished,K000659.000,,CW104950213,,,,N1075,,"Amhurst, N. (Nicholas), 1697-1742.",1717,"A congratulatory epistle to the Right Honourable Joseph Addison, Esq: occasioned, by his being made one of His Majesty's principal secretaries of state. By a student at Oxford.",,"London : printed for E. Curll,",,
, Ecco-Unfinished,K000660.000,,CW124696097,,,,N1077,,"Amhurst, N. (Nicholas), 1697-1742.",1717,"An epistle from a student at Oxford: to the Chevalier. Occasioned by his removal over the Alps, and the discovery of the Swedish conspiracy.",,"London : printed for E. Curll,",,
, Ecco-Unfinished,K000834.000,,CW111390744,,,,N1355,,"Garrick, David, 1717-1779.",MDCCXLI[1761],The fribbleriad:,,"London : printed for J. Coote,",,
, Ecco-Unfinished,K001193.000,,CW111456256,,,,N1843,,"Hill, Aaron, 1685-1750.",[1779],"An essay on the art of acting: in which, the dramatic passions are properly defined and described, with applications of the rules peculiar to each, and selected passages for practice. ... By the late A. Hill, esq; now first revised, and separately published.",,"London : printed for J. Dixwell,",,
, Ecco-Unfinished,K001337.000,,CW112177253,,,,N2065,,"Arnold, Cornelius, 1711-1757?",1751,Commerce: A poem. By Mr. Corns. Arnold.,,"London : printed by Daniel Browne, for R. Dodsley; M. Cooper; J. Swan; and Mr. Barret, Oxford,",,
, Ecco-Unfinished,K001670.000,,CW105397373,,,,N2545,,"Defoe, Daniel, 1661?-1731.",1714,"A letter to the Whigs, expostulating with them upon their present conduct: wherein, the grounds and reasons of the present allarm about the Pretender are enquir'd into, examin'd, and impartially stated.",,"London : printed for E. Smith,",,
, Ecco-Unfinished,K002628.000,,CW118839607,,,,N4080,,"Whiston, William, 1667-1752.",1715,"Mr. Whiston's defence of himself: from the articles objected to him by Dr. Pelling; before the Court of Delegates, in a cause of heresy. To which is prefix'd the articles themselves.",,"London : printed for J. Roberts, and sold by the booksellers of London and Westminster,",,
, Ecco-Unfinished,K003537.001,,CW116320554,,,,N5684,,"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705.",1721,"A collection of novels and tales: written by that celebrated wit of France, the Countess d'Anois. In two volumes. ... Translated from the best edition of the original French, by several hands. [pt.1]",,"London : printed for W. Taylor; and W. Chetwood,",,
, Ecco-Unfinished,K003537.002,,CW116320554,,,,N5684,,"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705.",1721,"A collection of novels and tales: written by that celebrated wit of France, the Countess d'Anois. In two volumes. ... Translated from the best edition of the original French, by several hands. [pt.2]",,"London : printed for W. Taylor; and W. Chetwood,",,
, Ecco-Unfinished,K003912.000,,CW107947349,,,,N6403,,"Coffey, Charles, d. 1745.",1731,"The devil to pay; or, the wives metamorphos'd: An opera. As it is perform'd at the Theatre-Royal in Drury-Lane, by His Majesty's servants. Written by the author of The beggars wedding. With the musick prefix'd to each song.",,"London : printed for J. Watts,",,
, Ecco-Unfinished,K004351.000,,CW110100098,,,,N7239,,"Carey, Henry, 1687?-1743.",1735,The honest Yorkshire-man: A ballad farce. As it is perform'd at the theatres with universal applause.,,"London : printed for W. Feales,",,
, Ecco-Unfinished,K004364.000,,CW108388995,,,,N7264,,"Waldron, F. G. (Francis Godolphin), 1744-1818.",1794,"Heigho for a husband!: A comedy. As performed at the Theatre-Royal, in the Hay-Market, on Tuesday, January 14, 1794.",,"London : printed for T. Arrowsmith; and sold by B. Crosby,",,
, Ecco-Unfinished,K004477.000,,CW110405935,,,,N7507,,"Hill, Aaron, 1685-1750.",[1716],"The fatal vision: or, the fall of Siam. A tragedy: as it is acted at the New Theatre in Lincoln's-Inn-Fields, 1716.",,"London : printed for Edw. Nutt,",,
