"UID","COLLECTION","TCP","EEBO","ECCO","VID","Book ID","STC","ESTC","Status","Author","Date","Title","Terms","Publisher","Pages","Word Count"
,"Evans","N00001",,,,,,,,,"Imprinted 1640.","The vvhole Booke of Psalmes faithfully translated into English metre. ; Whereunto is prefixed a discourse declaring not only the lawfullness, but also the necessity of the heavenly ordinance of singing Scripture psalmes in the churches of God. ; [Seven lines of Scripture texts]",,"[Cambridge, Mass. : Stephen Day],",,
,"Evans","N00003",,,,,,,," Winthrop, John, 1588-1649.","1645]","A declaration of former passages and proceedings betwixt the English and the Narrowgansets, with their confederates, wherein the grounds and iustice [sic] of the ensuing ware are opened and cleared. : Published, by order of the Commissioners for the United Colonies. At Boston the 11 of the sixth month 1645.",,"[Cambridge, Mass. : Printed by Stephen Day,",,
,"Evans","N00008",,,,,,,,"Cambridge Synod","anno dom: 1649.","A platform of church discipline gathered out of the Word of God: and agreed upon by the elders: and messengers of the churches assembled in the Synod at Cambridge in New England : To be presented at the churches and Generall Court for their consideration and acceptance, in the Lord. : The eight moneth [sic] anno 1649 : [Seven lines from Psalms]",,"[Cambridge, Mass.] : Printed by S G [i.e., Samuel Green] at Cambridge in New England and are to be sold at Cambridge and Boston,",,
,"Evans","N00010",,,,,,,,"Massachusetts.","[1648]","The book of the general lauues and libertyes concerning the inhabitants of the Massachusets collected out of the records of the General Court for the several years wherin they were made and established, and now revised by the same Court and disposed into an alphabetical order and published by the same authoritie in the General Court held at Boston the fourteenth of the first month anno 1647. : [Two lines from the Epistle to the Romans]",,"Cambridge [Mass.]. : Printed [by Matthew Day] according to order of the General Court. 1648. And are to be solde at the shop of Hezekiah Usher in Boston.,",,
,"Evans","N00012",,,,,,,,,1651,"The psalms hymns and spiritual songs of the Old and New Testament, faithfully translated into English metre, for the use, edification, and comfort, of the saints, in publick, & private. Especially in New-England. ; [Six lines of Scripture texts]",,"[Cambridge, Mass.] : Printed by Samuel Green at Cambridg in New-England.,",,
,"Evans","N00013",,,,,,,," Mather, Richard, 1596-1669.",1652,"The summe of certain sermons upon Genes: 15. 6. VVherein not only the docrine [sic] of justification by faith is asserted and cleared, and sundry arguments for justification before faith, discussed and answered, but also the nature and the meanes of faith, with the imputation of our sins to Christ, and of Christs righteousness to us are briefly explained and confirmed. / Preached at Dorchester in New-England by Richard Mather teacher to the Church there. ; And now by him published at the earnest request of sundry well-affected and godly Christians.",,"[Cambridge, Mass.] : Printed by Samuel Green at Cambridg [sic] in New-England,",,
,"Evans","N00015",,,,,,,," Chauncy, Charles, 1592-1672.",1655,"Gods mercy, shewed to his people in giving them a faithful ministry and schooles of learning for the continual supplyes therof. Delivered in a sermon preached at Cambridg, the day after the commencement, / by Charles Chauncy, B.D, president of Harvard Colledg in New-England. ; Published with some additions therunto at the request of diverse honoured, and much respected friends, for publick benefit, as they judged. ; [Four lines from I Thessalonians]",,"[Cambridge, Mass.] : Printed by Samuel Green, at Cambridg in New-England,",,
,"Evans","N00020",,,,,,,," Fiske, John, 1601-1677.",1657,"The watering of the olive plant in Christs garden. Or A short catechism for the first entrance of our Chelmesford children: enlarged by a three-fold appendix / by John Fisk Pastour of the church of Christ at Chelmesford in New-England. ; [Six lines of Scripture texts]",,"[Cambridge, Mass.] : Printed by Samuel Green at Cambridg in New-England.,",,
,"Evans","N00021",,,,,,,," Mather, Richard, 1596-1669.",1657,"A farewel exhortation to the church and people of Dorchester in New-England. But not unusefull to any others, that shall heedfully read and improve the same, : as containing Christian and serious incitements, and preswasions to the study and practise of seven principal dutyes of great importance for the glory of God, and the salvation of the soul, and therefore needfull to be seriously considered of all in these declining times. / By Richard Mather teacher to the church above mentioned. ; [Five lines of Scripture texts]",,"[Cambridge, Mass.] : Printed by Samuel Green at Cambridg in New-England,",,
,"Evans","N00022",,,,,,,," Wilson, John, 1588-1667.","1658?]","A copy of verses made by that Reverend man of God Mr. John Wilson, Pastor to the First Church in Boston; on the sudden death of Mr. Joseph Brisco, who was translated from earth to heaven Jan. 1. 1657 [i.e., 1658, N.S.].",,"[Cambridge, Mass.? : Printed by Samuel Green?,",,
,"Evans","N00026",,,,,,,,"Harvard College (1636-1780).","1659]","An humble proposal, for the inlargement of university learning in New England, by the trustees hereafter named, to whom the management of this affair is committed.",,"[London? : s.n.,",,
,"Evans","N00027",,,,,,,," Norton, John, 1606-1663.",1659,"The heart of N-England rent at the blasphemies of the present generation. Or a brief tractate concerning the doctrine of the Quakers, demonstrating the destructive nature thereof, to religion, the churches, and the state, with consideration of the remedy against it. Occasional satisfaction to objections, and confirmation of the contrary trueth. / By John Norton, teacher of the Church of Christ at Boston. Who was appointed thereunto by the order of the General Court. ; [Four lines from Revelation]",,"[Cambridge, Mass.] : Printed by Samuel Green, at Cambridg in New-England.,",,
,"Evans","N00032",,,,,,,," Norton, John, 1606-1663.",1660,"A brief catechisme containing the doctrine of Godlines [sic], or of living unto God. / By John Norton, teacher of the church at Boston in New-England.",,"Cambridg [i.e., Cambridge, Mass.] : Printed by S.G. and M.J. [i.e., Samuel Green and Marmaduke Johnson] New-England.,",,
,"Evans","N00034",,,,,,,," Noyes, James, 1608-1656.",1661,"A short catechism composed by Mr. James Noyes late teacher of the Church of Christ in Newbury for the use of the children there.",,"Cambridg [i.e., Cambridge, Mass.] : Printed by S.G. and M.J. [i.e., Samuel Green and Marmaduke Johnson],",,
,"Evans","N00035",,,,,,,,"Boston Synod",1662,"Propositions concerning the subject of baptism and consociation of churches, collected and confirmed out of the Word of God, by a synod of elders and messengers of the churches in Massachusetts-Colony in New-England. Assembled at Boston, according to appointment of the Honoured General Court, in the year 1662. : At a General Court held at Boston in New-England the 8th of October, 1662. The Court having read over this result of the Synod, judge meet to commend the same unto the consideration of all the churches and people of this jurisdiction; and for that end do order the printing thereof. By the Court. Edward Rawson. Secret'.",,"Cambridge [Mass.]: : Printed by S.G. [i.e., Samuel Green] for Hezekiah Usher at Boston in New-England.,",,
,"Evans","N00040",,,,,,,," Cotton, Seaborn, 1633-1686.",1663,"A brief summe of the cheif [sic] articles of our Christian faith, composed in way of question and answer, now published, especially for the benefit of the town of Hampton.",,"Cambridg [i.e., Cambridge, Mass.] : Printed by Samuel Green,,",,
,"Evans","N00041",,,,,,,," Davenport, John, 1597-1670.",1663,"Another essay for investigation of the truth, in answer to two questions, concerning I. The subject of baptism. II. The consociation of churches. / By John Davenport B. of D. and Pastor of the Church of Christ, at New-Haven, in New-England. ; [Twenty-four lines of quotations]",,"Cambridge [Mass.]: : Printed by Samuel Green and Marmaduke Johnson.,",,
,"Evans","N00042",,,,,,,," Cotton, John, 1584-1652.","MDCLXIII. [1663]","A discourse about civil government in a new plantation whose design is religion. Written many years since, by that Reverend and worthy Minister of the Gospel, John Cotton, B.D. ; And now published by some undertakers of a new plantation, for general direction and information.",,"Cambridge [Mass.]: : Printed by Samuel Green and Marmaduke Johnson.,",,
,"Evans","N00043",,,,,,,," Higginson, John, 1616-1708.",1663,"The cause of God and his people in New-England, as it was stated and discussed in a sermon preached before the Honourable General Court of the Massachusets colony, on the 27 day of May 1663. Being the day of election at Boston. / By John Higginson Pastor of the Church of Christ at Salem. ; [Seven lines of Scripture texts]",,"Cambridg [Mass.], : Printed by Samuel Green,",,
