"Worde, Wynkyn de, -1534?, printer,Tomkinson, Michael, 1841-1921, former owner,Boule, Joannis, former owner",1502-01-01T00:00:00Z,chronycleofenglo00word,eng,Chronycle of Englonde
"Page, William, 1861-1934,Huguenot Society of London",1509-01-01T00:00:00Z,lettersofdenizat8150page,eng,"Letters of denization and acts of naturalization for aliens in England, 1509-1603"
"Andrew, Laurence",1521-01-01T00:00:00Z,hin-wel-all-00001107-001,eng,"The noble lyfe & natures of man, of bestes, serpentys, fowles & fisshes yt be moste knowen / [Laurence Andrew]"
"Bradshaw, Henry, d. 1513,Hawkins, Edward, 1780-1867, ed",1521-01-01T00:00:00Z,holylyfeandhist00hawkgoog,"eng,lat","The holy lyfe and history of Saynt Werburge, very frutefull for all Christen people to rede"
"Bradshaw, Henry, d. 1513,Hawkins, Edward, 1780-1867, ed",1521-01-01T00:00:00Z,holylyfeandhist02hawkgoog,"eng,lat","The holy lyfe and history of Saynt Werburge, very frutefull for all Christen people to rede"
"[London]Printed for the Chetham society,,Bradshaw, Henry, d. 1513,Hawkins, Edward, 1780-1867, ed",1521-01-01T00:00:00Z,holylyfehistoryo00lond,eng,"The holy lyfe and history of Saynt Werburge,very frutefull for all Christen people to rede."
"Jacobus, de Voragine, approximately 1229-1298,Caxton, William, approximately 1422-1491 or 1492, translator,Worde, Wynkyn de, -1534?, printer,Kempe, William, former owner,Hales, Henry, former owner",1527-01-01T00:00:00Z,legendenamedinla00jaco,eng,"The legende, named in Latyn Legenda aurea that is to say in Englysshe The golden legende"
"Jacobus, de Voragine, approximately 1229-1298,Caxton, William, approximately 1422-1491 or 1492, translator,Worde, Wynkyn de, -1534?, printer,Kempe, William, former owner,Hales, Henry, former owner",1527-01-01T00:00:00Z,legendenamedinla00jaco_0,eng,"The legende, named in Latyn Legenda aurea that is to say in Englysshe The golden legende"
"Brunschwig, Hieronymus,",1527-01-01T00:00:00Z,mobot31753000816063,eng,"The vertuose boke of distyllacyon of the waters of all maner of herbes ?with the fygures of the styllatoryes /fyrst made and compyled by the thyrte yeres study and labour of the moste conynge and famous master of phisyke Master Jherom Bruynswyke ; and now newly translate out of Duyche into Englysshe, not only to the synguler helpe and profyte of the surgyens, phisycyens and apothecaryes, but also of all maner of people parfytely and in dewe tyme and ordre to lerne to dystyll all maner of herbes to the profit, cure, & remedy of all maner dysieases and infirmytees apparant and nat apparant, and ye shall understande that the waters be better than the herbes as Avicenna testefyeth in his fourth canon saynge that all maner medicynes used with theyr substance febleth and maketh aged and weke."
"Gossuin, of Metz, attributed name, translator,Caxton, William, approximately 1422-1491 or 1492, translator,Vincent, of Beauvais, -1264, attributed name, dubious author,Andrew, Laurence, active 1510-1537, printer,Britwell Court (Buckinghamshire, England). Library, former owner",1527-01-01T00:00:00Z,myrrourdyscrypcy00goss,English,"The myrrour & dyscrypcyon of the worlde : with many meruaylles & the vii scyences as gramayre, rethorike wyth the arte of memorye, logyke, geometrye, wyth the standarde of mesure & weyght, and the knowlege how a man sholde mesure londe, borde, & tymber, and than arsmetryke wyth the maner of accou[n]tes and rekenynges by cyfres, and than musyke, and astrnomye, with many other profytable and plesant co[m]modytes"
"Rastell, John, -1536,Riviere & Son, binder",1530-01-01T00:00:00Z,pastymeofpeoplec00rast,eng,The pastyme of people : the cronycles of dyuers realmys and most specyally of the realme of Englond
"Bonaventure, Saint, Cardinal, approximately 1217-1274, attributed name,Love, Nicholas, active 1410, translator,Worde, Wynkyn de, -1534?, printer,Hampton, John Somerset Pakington, Baron, 1799-1880, former owner. MB,Gibbs, Henry Hucks, 1819-1907, former owner. MB",1530-01-01T00:00:00Z,vitachristi00bona,English,Vita Christi
"Tyndale, William, d. 1536",1530-01-17T00:00:00Z,ThePentateuch,English,The Pentateuch
"Tyndale, William, d. 1536",1531-01-01T00:00:00Z,ThePropheteIonas,English,"The prophete Jonas, with an introduction"
"Machiavelli, Niccolò, 1469-1527",1532-01-01T00:00:00Z,ThePrince_201306,eng,The Prince
"Fabyan, Robert, -1513,Rastell, William, 1508?-1565, printer,Broxbourne Library, former owner. MB",1533-01-01T00:00:00Z,fabyanscronyclen00faby,eng,"Fabyans cronycle : newly prynted : wyth the cronycle, actes, and dedes done in the tyme of the reygne of the moste excellent prynce Kynge Henry the vii, father vnto our most drad souerayne lord Kynge Henry the viii"
"Hilton, Walter, -1396,Worde, Wynkyn de, -1534? printer,Poor, Henry W. (Henry William), 1844-1915, former owner,Liptrap, John, former owner,Wallace, Walter Thomas. [from old catalog] former owner,Newton, A. Edward (Alfred Edward), 1864-1940, former owner",1533-01-01T00:00:00Z,scalaperfectioni00hilt,eng,Scala perfectionis
,1536-01-01T00:00:00Z,bub_gb_wfggq6yh2G4C,English,C. Plinii Secundi Naturalis Historiae
"Church of England,Berthelet, Thomas, printer,Amherst, William Amhurst Tyssen-Amherst, Baron, 1835-1909, former owner. MB",1537-01-01T00:00:00Z,institutionofchr00chur,eng,"The institution of a Christen man : conteynynge the exposytion or interpretation of the commune Crede, of the seuen Sacramentes, of the .x. commandementes, and of the Pater noster, and the Aue Maria, iustyfication [and] purgatory"
Anonymous,1538-01-01T00:00:00Z,BeggarsPetitionPdf,eng,Beggar's Petition
"Coverdale, Miles, 1488-1568, translator,Nicolson, James, printer,Medlicott, William Gibbons, 1816-1883, former owner,B. Westermann & Co., bookseller",1538-01-01T00:00:00Z,newetestamentbot00cove,"eng,lat","The Newe Testament : both Latine and Englyshe ech correspondent to the other after the vulgare texte, communely called S. Jeroms"
"Elyot, Thomas, Sir, 1490?-1546,Berthelet, Thomas, printer",1541-01-01T00:00:00Z,2234010R.nlm.nih.gov,eng,The castel of helth corrected and in some places augmented
"Elyot, Thomas, Sir, 1490?-1546",1541-01-01T00:00:00Z,castelofhelthcor00elyoiala,eng,The castel of helth : corrected and in some places augmented by the fyrste authour therof
"Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535,Clapham, David, d. 1551",1542-01-01T00:00:00Z,atreatiseofnobil00agri,"eng,lat",[A treatise of the nobilitie and excellencie of womankynde
"Chaucer, Geoffrey, -1400,Grafton, Richard, -1572? printer,Reynes, John, -1544, bookseller,Thynne, William, -1546, editor,Copley, Lionell, former owner,Guillaume, de Lorris, active 1230. Roman de la rose",1542-01-01T00:00:00Z,workesofgeffrayc00chau,eng,"The workes of Geffray Chaucer : newlye printed, wyth dyuers workes whych were neuer in print before : as in the table more playnly doth appere"
"Church of England,Berthelet, Thomas, printer,Higgins, Charles Longuet, 1806-1885, former owner. MB,England and Wales. Sovereign (1536-1547 : Henry VIII),Bernard Quaritch (Firm), former owner",1543-01-01T00:00:00Z,necessarydoctrin00chur,eng,A necessary doctrine and erudition for any Christen man
"Elyot, Thomas, Sir, 1490?-1546,Miller, William Henry, 1789-1848, former owner,Berthelet, Thomas, printer,Britwell Court (Buckinghamshire, England). Library, former owner",1545-01-01T00:00:00Z,banketteofsapien00elyo,eng,The bankette of sapience
