UID,COLLECTION,TCP,EEBO,ECCO,VID,Book ID,STC,ESTC,Status,Author,Date,Title,Terms,Publisher,Pages,Word Count
,Navigations,A00005,,,,,,,,,1515,Here begynneth a shorte and abreue,,,,
,Navigations,A00007,,,,,,,,,1528,The Cronycles of Englonde,,,,
,Navigations,A00113,,,,,,,,,1554,The right plesaunt and goodly histo,,,,
,Navigations,A00400,,,,,,,,,1579,A discourse of the nauigation which,,,,
,Navigations,A00549,,,,,,,,,1633,An East-India colation; or a discou,,,,
,Navigations,A00574,,,,,,,,,1616,The famous history of George Lord F,,,,
,Navigations,A00611,,,,,,,,,1588,The voyage and trauaile,,,,
,Navigations,A00682,,,,,,,,,1620,A relation containing the manner of,,,,
,Navigations,A00683,,,,,,,,,1626,A relation of a new league made by,,,,
,Navigations,A00688,,,,,,,,,1617,"Terra australis incognita, or A new",,,,
,Navigations,A00709,,,,,,,,,1615,An exact and curious suruey of all,,,,
,Navigations,A00985,,,,,,,,,1614,Good newes from Florence,,,,
,Navigations,A01069,,,,,,,,,1616,A sermon preached at Constantinople,,,,
,Navigations,A01108,,,,,,,,,1635,"North-vvest Fox, or, Fox from the N",,,,
,Navigations,A01165,,,,,,,,,1597,The mutable and vvauering estate of,,,,
,Navigations,A01177,,,,,,,,,1591,A true discourse of an ouerthrow gi,,,,
,Navigations,A01238,,,,,,,,,1620,The declaration and information of,,,,
,Navigations,A01250,,,,,,,,,1623,A iournall of the voyage of the you,,,,
,Navigations,A01395,,,,,,,,,1618,"The glory of England, or A true des",,,,
,Navigations,A01426,,,,,,,,,1601,The discoueries of the world from t,,,,
,Navigations,A01564,,,,,,,,,1528,[The Jest of Sir Gawaine],,,,
,Navigations,A01656,,,,,,,,,1614,The wars in Germany,,,,
,Navigations,A01828,,,,,,,,,1533,The legacye or embassate of the gre,,,,
,Navigations,A01864,,,,,,,,,1588,The historie of the great and might,,,,
,Navigations,A01867,,,,,,,,,1630,"The tryall of trauell, or, [brace]",,,,
,Navigations,A02325,,,,,,,,,1632,A publication of Guiana's plantatio,,,,
,Navigations,A02335,,,,,,,,,1593,The description of the Low countrey,,,,
,Navigations,A02472,,,,,,,,,1613,A true declaration of the arriuall,,,,
,Navigations,A02494,,,,,,,,,1582,Diuers voyages touching the discoue,,,,
,Navigations,A02578,,,,,,,,,1617,Quo vadis?,,,,
,Navigations,A02605,,,,,,,,,1640,A paradox.,,,,
,Navigations,A02626,,,,,,,,,1613,A relation of a voyage to Guiana.,,,,
,Navigations,A02656,,,,,,,,,1567,A caueat for commen cursetors vvlga,,,,
,Navigations,A02794,,,,,,,,,1595,Strange and wonderfull things. Happ,,,,
,Navigations,A02826,,,,,,,,,1622,The observations of Sir Richard Hav,,,,
,Navigations,A02964,,,,,,,,,1570,Instructions giuen by the princes o,,,,
,Navigations,A03006,,,,,,,,,1592,A true relation of the French kinge,,,,
,Navigations,A03065,,,,,,,,,1634,A relation of some yeares trauaile,,,,
,Navigations,A03066,,,,,,,,,1638,Some yeares travels into divers par,,,,
,Navigations,A03319,,,,,,,,,1482,Prolicionycion [sic].,,,,
,Navigations,A03330,,,,,,,,,1630,"Nevv-Englands plantation. Or, A sho",,,,
,Navigations,A03451,,,,,,,,,1622,Nevves out of Holland,,,,
,Navigations,A03635,,,,,,,,,1579,"A dolorous discourse, of a most ter",,,,
,Navigations,A03702,,,,,,,,,1591,The trauailes of an English man.,,,,
,Navigations,A03858,,,,,,,,,1605,A declaration of the lordes and sta,,,,
,Navigations,A04024,,,,,,,,,1500,Informacon for pylgrymes vnto the h,,,,
,Navigations,A04086,,,,,,,,,1572,The offer and order giuen forth by,,,,
,Navigations,A04361,,,,,,,,,1624,The theater of Iaponia's constancy,,,,
,Navigations,A04364,,,,,,,,,1599,"True report of the gainefull, prosp",,,,
,Navigations,A04415,,,,,,,,,1620,A relation of the late iourney of t,,,,
,Navigations,A04494,,,,,,,,,1623,"The golden trade: or, A discouery o",,,,
,Navigations,A04523,,,,,,,,,1515,[Capystranus,,,,
,Navigations,A04581,,,,,,,,,1609,Nova Britannia,,,,
,Navigations,A04690,,,,,,,,,1610,"A discovery of the Barmudas, otherw",,,,
,Navigations,A04691,,,,,,,,,1613,A plaine description of the Barmuda,,,,
,Navigations,A04813,,,,,,,,,1596,A relation of the second voyage to,,,,
,Navigations,A05051,,,,,,,,,1598,The description of a voyage made by,,,,
,Navigations,A05059,,,,,,,,,1595,A briefe description of Hierusalem,,,,
,Navigations,A05331,,,,,,,,,1600,"A geographical historie of Africa,",,,,
,Navigations,A05339,,,,,,,,,1609,Noua Francia: or The description of,,,,
,Navigations,A05374,,,,,,,,,1576,Certein letters vvherin is set fort,,,,
,Navigations,A05414,,,,,,,,,1600,A discourse not altogether vnprofit,,,,
,Navigations,A05576,,,,,,,,,1592,A direction for trauailers.,,,,
,Navigations,A05594,,,,,,,,,1616,A most delectable and true discours,,,,
,Navigations,A05597,,,,,,,,,1640,"The totall discourse, of the rare a",,,,
,Navigations,A06332,,,,,,,,,1621,The lamentatle [sic] death of the E,,,,
,Navigations,A06333,,,,,,,,,1600,"A pleasant commodie, called Looke a",,,,
,Navigations,A06339,,,,,,,,,1597,"A report of the kingdome of Congo,",,,,
,Navigations,A06473,,,,,,,,,1632,London and the countrey carbonadoed,,,,
,Navigations,A06694,,,,,,,,,1618,Nevves of Sr. VValter Rauleigh.,,,,
,Navigations,A06776,,,,,,,,,1565,"[C]ertayn and tru good nues, fro[m]",,,,
,Navigations,A06811,,,,,,,,,1496,[Here endeth the boke of Iohn Maund,,,,
,Navigations,A06812,,,,,,,,,1499,Here begynneth a lytell treatyse or,,,,
,Navigations,A06813,,,,,,,,,1510,of delyces where a man shall fynde,,,,
,Navigations,A06814,,,,,,,,,1503,Than is there an other yle ye men c,,,,
,Navigations,A06817,,,,,,,,,1582,The voyages and trauailes of Sir Jo,,,,
,Navigations,A06861,,,,,,,,,1550,"Mappa mundi, otherwyse called the c",,,,
,Navigations,A07165,,,,,,,,,1635,A relation of Maryland,,,,
,Navigations,A07216,,,,,,,,,1620,A briefe discourse of the Nevv-foun,,,,
,Navigations,A07254,,,,,,,,,1608,"An historicall and true discourse,",,,,
,Navigations,A07302,,,,,,,,,1565,"A brief rehersal {amp} discription, of",,,,
,Navigations,A07400,,,,,,,,,1589,"Certaine briefe, and speciall instr",,,,
,Navigations,A07623,,,,,,,,,1603,Certeine matters concerning the rea,,,,
,Navigations,A07792,,,,,,,,,1625,New-England. Or A briefe enarration,,,,
,Navigations,A07831,,,,,,,,,1637,New English Canaan or New Canaan.,,,,
,Navigations,A07832,,,,,,,,,1637,"New English Canaan, or New Canaan",,,,
,Navigations,A07834,,,,,,,,,1617,An itinerary vvritten by Fynes Mory,,,,
,Navigations,A07873,,,,,,,,,1553,A treatyse of the newe India,,,,
,Navigations,A07885,,,,,,,,,1615,The lamentable destruction of Mulhe,,,,
,Navigations,A07920,,,,,,,,,1636,"Pidax Petreia, or, The disc[ov]erie",,,,
,Navigations,A08052,,,,,,,,,1601,"The iournall, or dayly register, co",,,,
,Navigations,A08067,,,,,,,,,1598,[A briefe cronicle and perfect rehe,,,,
,Navigations,A08070,,,,,,,,,1615,Nevves of the Netherlands.,,,,
,Navigations,A08071,,,,,,,,,1615,"A description of the prosperitie, s",,,,
,Navigations,A08076,,,,,,,,,1603,A True and perfect relation of the,,,,
,Navigations,A08101,,,,,,,,,1621,Orders and articles granted by the,,,,
,Navigations,A08137,,,,,,,,,1597,Newes from diuers countries,,,,
,Navigations,A08138,,,,,,,,,1623,Iune 26. Numb. 37. More nevves; con,,,,
,Navigations,A08139,,,,,,,,,1624,The Continuation of our weekly newe,,,,
,Navigations,A08140,,,,,,,,,1623,July 22. Numb. 41. More newes of th,,,,
,Navigations,A08141,,,,,,,,,1623,A proclamation by the states of the,,,,
,Navigations,A08142,,,,,,,,,1623,July 29. Numb. 42. More newes of th,,,,
,Navigations,A08143,,,,,,,,,1638,Numb[er]. 1. An abstract of some sp,,,,
,Navigations,A08144,,,,,,,,,1631,"A relation of the King of Svveden,",,,,
,Navigations,A08146,,,,,,,,,1632,February 8. Numb. 10. The continuat,,,,
,Navigations,A08147,,,,,,,,,1631,The Continuation of our weekely int,,,,
