UID,COLLECTION,TCP,EEBO,ECCO,VID,Book ID,STC,ESTC,Status,Author,Date,Title,Terms,Publisher,Pages,Word Count
,TCP Plain Texts,K000934.000,,CW3305901409,,1058401600,,N1500,,Paine Thomas 1737-1809,1796,THE AMERICAN CRISIS AND A LETTER TO SIR GUY CARLETON ON THE MURDER OF CAPTAIN HUDDY AND THE INTENDED RETALIATION ON CAPTAIN ASGILL OF THE GUARDS.,,London : printed and sold by Daniel Isaac Eaton No. 74 Newgate-Street,,
,TCP Plain Texts,K006151.000,,CW3316607824,,1144200600,,N10432,,Gray Thomas 1716-1771,1757,ODES BY Mr. GRAY Author of an Elegy in a Country Church-Yard.,,Dublin : printed for G. Faulkner in Essex-Street and J. Rudd at the Apollo in Dame-Street,,
,TCP Plain Texts,K019955.000,,CW3316666942,,1174701700,,T236,,Barbauld Mrs. (Anna Letitia) 1743-1825,1773,POEMS.,,London : printed for Joseph Johnson in St. Paul's Church-Yard,,
,TCP Plain Texts,K020978.000,,CW3314258361,,783200300,,T1728,,Gay John 1685-1732,1733,ACHILLES. AN OPERA. As it is Perform'd at the Theatre-Royal in Covent-Garden.,,London : printed for J. Watts at the Printing-Office in Wild-Court near Lincoln's-Inn-Fields,,
,TCP Plain Texts,K021626.000,,CW106100145,,164401000,,T2690,,Hogarth William 1697-1764,1753,THE ANALYSIS OF BEAUTY.,,London : printed by J. Reeves for the author and sold by him at his house in Leicester-Fields,,
,TCP Plain Texts,K022415.000,,CW3318274819,,210201600,,T4525,,Paley William 1743-1805,1777,Caution recommended in the Use and Application of Scripture Language.,,Cambridge : printed by J. Archdeacon Printer to the University; for T. &amp;#38; J. Merrill in Cambridg,,
,TCP Plain Texts,K023025.000,,CW3314388315,,660300100,,T5537,,Pope Alexander 1688-1744,1728,THE DUNCIAD. AN Heroic Poem.,,[London] : Dublin printed London re-printed for A. Dodd,,
,TCP Plain Texts,K023176.000,,CW111212958,,272601000,,T5726,,Pope Alexander 1688-1744,1714,THE RAPE of the LOCK. AN HEROI-COMICAL POEM. In FIVE CANTO'S.,,London : printed for Bernard Lintott at the Cross-Keys in Fleetstreet,,
,TCP Plain Texts,K027775.000,,CW3313895452,,559101000,,T14895,,Cowper William 1731-1800,1782,POEMS BY WILLIAM COWPER Of the INNER TEMPLE ESQ.,,London : printed for J. Johnson No. 72 St. Paul's Church Yard,,
,TCP Plain Texts,K027776.000,,CW3312915851,,484500300,,T14896,,Cowper William 1731-1800,1785,THE TASK A POEM IN SIX BOOKS.,,London : printed for J. Johnson,,
,TCP Plain Texts,K029412.000,,CW108853224,,888000300,,T18650,,Newton Isaac Sir 1642-1727,1702,A New and most Accurate THEORY OF THE Moon's Motion; Whereby all her Irregularities may be solved and her Place truly calculated to Two Minutes.,,London : printed and sold by A. Baldwin in Warwick-Lane,,
,TCP Plain Texts,K032308.000,,CW110133203,,47602700,,T26858,,Centlivre Susanna 1667?-1723,1723,THE ARTIFICE. A COMEDY.,,London : printed for T. Payne near Stationers-Hall,,
,TCP Plain Texts,K034809.000,,CW3321946048,,868900800,,T31323,,Wesley John 1703-1791,1739,HYMNS AND SACRED POEMS.,,London : printed by William Strahan; and sold by James Hutton Bookseller at the Bible and Sun,,
,TCP Plain Texts,K035592.000,,CW3310483623,,163500300,,T32526,,Berkeley George Monck 1763-1793,1786,AN ELEGY ON THE DEATH of MISS Ms. ELDEST DAUGHTER OF D M ESQ. OF THE F H C BERKSHIRE. WHO DIED THE 8th OF JULY 1785.,,London : printed for H. D. Symonds Stationer's Court Ludgate-Street,,
,TCP Plain Texts,K040168.000,,CW3319776122,,417901000,,T40185,,Doddridge Philip 1702-1751,1730,FREE THOUGHTS ON THE Most Probable MEANS of Reviving THE DISSENTING INTEREST.,,London : printed for Richard Hett at the Bible and Crown in the Poultry near Cheapside,,
,TCP Plain Texts,K043640.000,,CW3324554982,,55702300,,T46205,,Berkeley George 1685-1753,1725,THE QUERIST CONTAINING Several QUERIES Proposed to the CONSIDERATION OF THE PUBLIC.,,Dublin : printed by R. Reilly on Cork-Hill for G. Risk G. Ewing and W. Smith Booksellers in,,
,TCP Plain Texts,K043880.000,,CW105354201,,939801000,,T46573,,Burke Edmund 1729-1797,1790,REFLECTIONS ON THE REVOLUTION IN FRANCE AND ON THE PROCEEDINGS IN CERTAIN SOCIETIES IN LONDON RELATIVE TO THAT EVENT.,,London : printed for J. Dodsley in Pall-Mall,,
,TCP Plain Texts,K044551.000,,CW3323275868,,1169200700,,T47580,,Paley William 1743-1805,1795,A SERMON PREACHED AT THE ASSIZES AT DURHAM JULY 29th 1795; AND PUBLISHED AT THE REQUEST OF The LORD BISHOP The Honorable the JUDGES of Assize And the GRAND JURY;,,London : printed for R. Faulder new Bond-Street,,
,TCP Plain Texts,K044692.000,,CW3322796466,,1082102300,,T47748,,Berkeley George 1685-1753,1732,A SERMON Preached before the Incorporated SOCIETY FOR THE Propagation of the Gospel in Foreign Parts; AT THEIR ANNIVERSARY MEETING IN THE Parish-Church of St Mary-le-Bow On FRIDAY February 18. 1731.,,London : printed by J. Downing in Bartholomew-Close near West-Smithfield,,
,TCP Plain Texts,K046227.000,,CW105564363,,681100600,,T50177,,Cugoano Ottobah,1787,THOUGHTS AND SENTIMENTS ON THE EVIL AND WICKED TRAFFIC OF THE SLAVERY AND COMMERCE OF THE HUMAN SPECIES HUMBLY SUBMITTED TO The INHABITANTS of GREAT-BRITAIN BY OTTOBAH CUGOANO A NATIVE of AFRICA.,,London : [s.n.],,
,TCP Plain Texts,K046614.000,,CW104687182,,397700400,,T50903,,Wollstonecraft Mary 1759-1797,1792,A VINDICATION OF THE RIGHTS OF WOMAN: WITH STRICTURES ON POLITICAL AND MORAL SUBJECTS.,,London : printed for J. Johnson No 72 St. Paul's Church Yard,,
,TCP Plain Texts,K046809.000,,CW3305050929,,646000800,,T51439,,Famine Citizen,1793,LE TOCSIN! OR THE ADDRESS OF CITIZEN FAMINE!!! TO THE OPPRESSORS OF HIS COUNTRY.,,[London s.n.,,
,TCP Plain Texts,K049641.000,,CW109607653,,1168900300,,T55737,,,1707,THE BLACK ART Detected and Expos'd: OR A DEMONSTRATION OF THE HELLISH IMPIETY OF Being or desiring to Be a Wizzard Conjurer or Witch.,,London : printed for William Carter at the Green Dragon in St. Paul's Church-Yard,,
,TCP Plain Texts,K054680.002,,CW3306462659,,853300502,,T63190,,Walpole Horace 1717-1797,1765,ANECDOTES OF PAINTING in ENGLAND; With some Account of the principal Artists; And incidental NOTES on other ARTS;,,[Twickenham] : Printed by Thomas Kirgate at Strawberry-Hill,,
,TCP Plain Texts,K054680.003,,CW3306462931,,853300503,,T63190,,Walpole Horace 1717-1797,1765,ANECDOTES OF PAINTING in ENGLAND; With some Account of the principal Artists; And incidental NOTES on other ARTS;,,[Twickenham] : Printed by Thomas Kirgate at Strawberry-Hill,,
,TCP Plain Texts,K054688.000,,CW3312976075,,507001200,,T63198,,Walpole Horace 1717-1797,1764,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,,London : printed for Tho. Lownds,,
,TCP Plain Texts,K056026.000,,CW107332225,,254501200,,T65046,,Rowlands Henry 1655-1723,1705,AN ACCOUNT OF THE Origin and Formation OF FOSSIL-SHELLS &amp;c.,,London : printed by W. Botham for James Knapton at the Crown in St. Paul's Church-Yard,,
,TCP Plain Texts,K059055.000,,CW3318820775,,278300400,,T69163,,Walton Jacob d. 1743,1735,THE CATECHISM OF THE AUTHOR OF THE MINUTE PHILOSOPHER FULLY ANSWER'D.,,Dublin : printed by S. Powell for William Smith at the Hercules Bookseller in Dame-Street,,
,TCP Plain Texts,K059636.000,,CW108885731,,951900300,,T70119,,Bateson Peter,1710,SOME PAPERS Relating to the General Draining OF MARSH-LAND IN THE County of Norfolk.AN ANSWER TO SOME OBJECIONS OF HATTON BERNERSEsq Against a PAPER Intit'led Some REMARKS Concerning the OUTFALS of the Country OF MARSH-LAND &amp;c.,,[London?] : Printed in the year,,
,TCP Plain Texts,K059793.000,,CW114109295,,733800100,,T70314,,Defoe Daniel 1661?-1731,1721,THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &amp;c.,,London : printed for and sold by W. Chetwood at Cato's-Head in Russel-Street Covent-Garden ;,,
,TCP Plain Texts,K060946.001,,CW3309637647,,5700701,,T71886,,Lennox Charlotte ca. 1729-1804,1752,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. I.,,London : printed for A. Millar over-against Catharine-Street in the Strand,,
,TCP Plain Texts,K060946.002,,CW3309637932,,5700702,,T71886,,Lennox Charlotte ca. 1729-1804,1752,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. II.,,London : printed for A. Millar over-against Catharine-Street in the Strand,,
,TCP Plain Texts,K061280.000,,CW113746641,,653600100,,T72264,,Defoe Daniel 1661?-1731,1719,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,,London : printed for W. Taylor at the Ship in Pater-Noster-Row.,,
,TCP Plain Texts,K062837.000,,CW3300787717,,168900800,,T74576,,Addison Joseph 1672-1719,1718,REMARKS ON SEVERAL PARTS OF ITALY &amp;c. In the Years 1701 1702 1703.,,London : printed for J. Tonson at Shakespear's-Head over against Katharine-Street in the Stran,,
,TCP Plain Texts,K063086.000,,CW3303981736,,45000600,,T75092,,Berkeley George 1685-1753,1715,ADVICE TO THE TORIES Who have Taken the OATHS.,,London : printed by R. Baldwin; and sold by R. Burleigh in Amen-Corner,,
,TCP Plain Texts,K064501.000,,CW3305027435,,600200500,,T77434,,Paley William 1743-1805,1792,REASONS FOR CONTENTMENT; ADDRESSED TO The Labouring Part OF THE BRITISH PUBLIC.,,Carlisle : printed by F. Jollie. -,,
,TCP Plain Texts,K064766.000,,CW118263402,,208500500,,T77986,,Berkeley George 1685-1753,1710,A TREATISE Concerning the PRINCIPLES OF Human Knowlege.,,Dublin : printed by Aaron Rhames for Jeremy Pepyat Bookseller in Skinner-Row,,
,TCP Plain Texts,K065604.000,,CW3306610395,,30600600,,T79309,,Jurin James 1684-1750,1735,The MINUTE MATHEMATICIAN: OR The Free-Thinker no Just-Thinker. Set forth in A Second LETTER TO THE Author of the ANALYST; CONTAINING A Defence of Sir ISAAC NEWTON And the British Mathematicians Against a late Pamphlet entituled A Defence of Free-Thinking in Mathematicks.,,London : printed for T. Cooper,,
,TCP Plain Texts,K066227.000,,CW3320351443,,539601100,,T80551,,Paley William 1743-1805,1790,HORAE PAULINAE OR THE TRUTH OF THE SCRIPTURE HISTORY OF ST. PAUL EVINCED BY A COMPARISON OF THE EPISTLES WHICH BEAR HIS NAME WITH THE ACTS OF THE APOSTLES AND WITH ONE ANOTHER.,,London : printed by J. Davis for R. Faulder New Bond-Street,,
,TCP Plain Texts,K067329.000,,CW3312026958,,381500300,,T82397,,Watts Isaac 1674-1748,1706,HORAE LYRICAE.,,London : printed by S. and D. Bridge for John Lawrence,,
,TCP Plain Texts,K068010.000,,CW108288624,,541900200,,T83424,,,1704,ARISTOTLE's MASTER-PIECE: OR THE Secrets of Generation Display'd in all the Parts thereof; CONTAINING 1. The Signs of Barrenness. 2. The way of getting a Boy or Girl. 3. Of the likeness of Children to Parents. 4 Of the Infusion of the Soul into the Infant. 5. Of monstrous Births and the Reasons thereof. 6. Of the benefit of Marriage to both Sexes. 7 The Prejudice of unequal Matches. 8. The discovery of Insufficiency. 9. The cause and cure of the Green-sickness. 10 A Discourse of Virginity. 11. How a Midwife ought to be qualified. 12. Directions and Cautions to Midwives. 13. Of the Organs of Generation in Women. 14. The Fabrick of the Womb 15 The use and action of the Genitals. 16. Signs of Conception and whether of a Male or Female 17. To discover false Conception. 18 Instructions for Women with Child. 19. For preventing Miscarriage 20. For Women in Childbed 21. Of ordering new-born Infants; and many other very useful Particulars To which is added A word of Advice to both Sexes in the Act of Copulation and the Pictures of several Monstreus Births.,,London : printed for W.B. and to be sold by most booksellers in London and Westminster,,
,TCP Plain Texts,K072976.000,,CW3310560609,,48300600,,T89867,,Fielding Henry 1707-1754,1734,DON QUIXOTE IN ENGLAND. A COMEDY. As it is Acted at the NEW THEATRE in the Hay-Market.,,London : printed for J. Watts at the Printing-Office in Wild-Court near Lincoln's-Inn Fields,,
,TCP Plain Texts,K074843.000,,CW108510086,,601900400,,T92533,,Banyer Henry fl. 1718-1736,1718,Pharmacopoeia Pauperum.,,London : printed for T. Warner at the Black-Boy in Pater-Noster-Row,,
,TCP Plain Texts,K075014.000,,CW3308439552,,440900900,,T92782,,Berkeley George 1685-1753,1744,A LETTER TO T PEsq FROM THE AUTHOR of SIRIS.,,[London] : Dublin printed London re-printed for M. Cooper at the Globe in Pater-Noster-Row,,
,TCP Plain Texts,K077856.000,,CW3305152129,,28202200,,T96678,,Malthus T.R. (Thomas Robert) 1766-1834,1800,AN INVESTIGATION OF The Cause OF THE PRESENT HIGH PRICE OF PROVISIONS.,,London : printed for J. Johnson in St. Paul's-Church-Yard by Davis Taylor and Wilks Chancer,,
,TCP Plain Texts,K087560.000,,CW3313966413,,681701000,,T109049,,Hudibras Hugh,1793,THE LEVELLERS; OR Satan's Privy-Council.,,[London?] : Printed by W. Browne (for the author) and sold by all the booksellers,,
,TCP Plain Texts,K088215.000,,CW3306610789,,30601100,,T109901,,Berkeley George 1685-1753,1735,A DEFENCE OF Free-Thinking IN MATHEMATICS.,,London : printed for J. Tonson,,
,TCP Plain Texts,K089396.000,,CW110824914,,1169000500,,T111486,,Beaumont John d. 1731,1705,AN Historical Physiological and Theological TREATISE OF SPIRITS Apparitions Witchcrafts and other Magical Practices.,,London : printed for D. Browne at the Black Swan without Temple-Bar; J. Taylor at the Ship in,,
,TCP Plain Texts,K092165.001,,CW3310896459,,238500401,,T115132,,Berkeley George Monck 1763-1793,1787,SPANISH MEMOIRS; IN A SERIES OF ORIGINAL LETTERS. CONTAINING THE HISTORY OF DONNA ISABELLA DELLA VILLAREA NIECE TO DON JOHN TWENTIETH AND LAST DUKE OF ARANDINA.,,London : printed for C. Elliot T. Kay and Co. No 332 opposite Somerset-House Strand London;,,
,TCP Plain Texts,K092165.002,,CW3310896633,,238500402,,T115132,,Berkeley George Monck 1763-1793,1787,SPANISH MEMOIRS; IN A SERIES OF ORIGINAL LETTERS. CONTAINING THE HISTORY OF DONNA ISABELLA DELLA VILLAREA NIECE TO DON JOHN TWENTIETH AND LAST DUKE OF ARANDINA.,,London : printed for C. Elliot T. Kay and Co. No 332 opposite Somerset-House Strand London;,,
,TCP Plain Texts,K097310.001,,CW3308408431,,195400701,,T121678,,Buffon Georges Louis Leclerc comte de 1707-1788,1780,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,Edinburgh : printed for William Creech,,
,TCP Plain Texts,K097310.002,,CW3308408980,,195400702,,T121678,,Buffon Georges Louis Leclerc comte de 1707-1788,1780,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,Edinburgh : printed for William Creech,,
,TCP Plain Texts,K097310.003,,CW3307061039,,195500103,,T121678,,Buffon Georges Louis Leclerc comte de 1707-1788,1780,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,Edinburgh : printed for William Creech,,
,TCP Plain Texts,K097310.004,,CW3307061583,,195500104,,T121678,,Buffon Georges Louis Leclerc comte de 1707-1788,1780,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,Edinburgh : printed for William Creech,,
,TCP Plain Texts,K097310.008,,CW3307063560,,195500108,,T121678,,Buffon Georges Louis Leclerc comte de 1707-1788,1780,NATURAL HISTORY GENERAL AND PARTICULAR BY THE COUNT DE BUFFON TRANSLATED INTO ENGLISH.,,Edinburgh : printed for William Creech,,
